,,ADF Statistic,P - Value,Lag
Close,AUD,-0.818662993013,0.813578392822,2
Close,BDT,-1.77348597488,0.393702332078,10
Close,CNY,-1.40911349886,0.577899278088,20
Close,HKD,-1.91531587576,0.324890696214,7
Close,IDR,,,
Close,INR,-1.18228954231,0.681167530399,5
Close,JPY,-1.05321268629,0.733365189575,0
Close,KRW,-3.52422655134,0.00738627242257,0
Close,LKR,0.31387957681,0.977972388137,28
Close,MNT,0.869262602067,0.992675793892,4
Close,MYR,-0.66451234045,0.855728790338,4
Close,NZD,-1.89606127077,0.33391627595,0
Close,PHP,-0.656656923386,0.85765930344,4
Close,PKR,0.909412364797,0.993211939006,28
Close,SGD,-1.9659948333,0.301679259228,1
Close,THB,-1.04856150561,0.735143379721,1
Close,TWD,-2.10307947411,0.243278133859,2
Close,VND,-2.40207685944,0.14115108829,2
High,AUD,-0.823127589814,0.812233943647,1
High,BDT,-1.81337194555,0.373843393212,25
High,CNY,-1.5273584006,0.51993674539,23
High,HKD,-1.75489153462,0.403075388298,26
High,IDR,,,
High,INR,-1.19667473007,0.67502452078,5
High,JPY,-1.04497314652,0.736510196435,1
High,KRW,-3.39535579933,0.0111182146127,4
High,LKR,0.25834794674,0.975350706091,27
High,MNT,0.570828730023,0.98687409627,21
High,MYR,-0.81052444234,0.816011027343,20
High,NZD,-1.9328128144,0.316785807921,1
High,PHP,-0.710093745109,0.844117677757,1
High,PKR,1.16447205972,0.995730987653,26
High,SGD,-1.94119663891,0.312935849819,7
High,THB,-1.21628699846,0.666550509523,5
High,TWD,-2.12110749708,0.23611230398,12
High,VND,-2.44409477392,0.129675645762,10
Low,AUD,-0.770933902782,0.827511292056,1
Low,BDT,-1.73252875922,0.414435382774,20
Low,CNY,-0.9341887311,0.776505227942,4
Low,HKD,-1.81019987636,0.375409625614,12
Low,IDR,,,
Low,INR,-1.16157237792,0.68990412947,5
Low,JPY,-1.02163913475,0.745290337993,5
Low,KRW,-3.39704275637,0.0110600978921,1
Low,LKR,0.342101562627,0.979195737709,27
Low,MNT,0.766198426553,0.991070482941,5
Low,MYR,-0.729789908508,0.838881666066,22
Low,NZD,-1.75094668505,0.405072600945,2
Low,PHP,-0.648711116202,0.859591176775,1
Low,PKR,1.89859532944,0.998525755675,21
Low,SGD,-1.91986446222,0.322774713293,7
Low,THB,-1.07931888071,0.723248443599,1
Low,TWD,-2.11243373566,0.239544415543,2
Low,VND,-2.54132789412,0.105739799558,13
Open,AUD,-0.793563529987,0.821005424331,2
Open,BDT,-1.81578419948,0.372653911539,28
Open,CNY,-1.46020648775,0.553096825401,26
Open,HKD,-1.92263409182,0.321489370806,7
Open,IDR,,,
Open,INR,-1.16552926673,0.688245673225,5
Open,JPY,-1.0625513995,0.729772688666,0
Open,KRW,-3.3774929718,0.0117504857784,1
Open,LKR,0.329457554231,0.978656342275,28
Open,MNT,0.791369741094,0.991495574526,5
Open,MYR,-0.642426114838,0.861104466037,4
Open,NZD,-1.82512863855,0.368059303154,1
Open,PHP,-0.630386143127,0.863967135687,1
Open,PKR,1.02484883541,0.994521334933,28
Open,SGD,-1.9035144456,0.330409615122,2
Open,THB,-1.13264094302,0.701881144684,1
Open,TWD,-2.13466683655,0.230805235484,8
Open,VND,-2.36053850535,0.153185180221,11
Intraday_OC,AUD,-35.5069759143,0.0,1
Intraday_OC,BDT,-3.69998252206,0.00411339998841,28
Intraday_OC,CNY,-20.8723714131,0.0,4
Intraday_OC,HKD,-47.9868206424,0.0,0
Intraday_OC,IDR,,,
Intraday_OC,INR,-11.6473140839,2.07721441067e-21,12
Intraday_OC,JPY,-51.4832924703,0.0,0
Intraday_OC,KRW,-53.4958662223,0.0,0
Intraday_OC,LKR,-5.3109922114,5.19575731201e-06,27
Intraday_OC,MNT,-9.32473381155,9.67891848503e-16,11
Intraday_OC,MYR,-25.7776598597,0.0,3
Intraday_OC,NZD,-52.3646090545,0.0,0
Intraday_OC,PHP,-33.6059528549,0.0,1
Intraday_OC,PKR,-5.73901827052,6.33911266668e-07,25
Intraday_OC,SGD,-52.5464867151,0.0,0
Intraday_OC,THB,-8.08346202856,1.4406154549e-12,19
Intraday_OC,TWD,-7.05983916263,5.25840834055e-10,28
Intraday_OC,VND,-10.5588089899,7.82489774764e-19,11
Intraday_HL,AUD,-4.76070705487,6.46233247184e-05,19
Intraday_HL,BDT,-5.36955501912,3.92331843414e-06,24
Intraday_HL,CNY,-4.73456137687,7.24329835392e-05,21
Intraday_HL,HKD,-6.58396975954,7.39389986052e-09,13
Intraday_HL,IDR,,,
Intraday_HL,INR,-4.29648196507,0.000450485048287,19
Intraday_HL,JPY,-6.83633404355,1.8384978038e-09,14
Intraday_HL,KRW,-4.51718440952,0.00018304880599,27
Intraday_HL,LKR,-2.97118024187,0.0376748688794,28
Intraday_HL,MNT,-3.75592449309,0.00339186315035,22
Intraday_HL,MYR,-5.17353298369,9.95449715169e-06,13
Intraday_HL,NZD,-4.42166431461,0.000271695990968,19
Intraday_HL,PHP,-5.72160760951,6.92064330205e-07,20
Intraday_HL,PKR,-3.47756552843,0.00858230214447,24
Intraday_HL,SGD,-4.2174569434,0.000615473765883,24
Intraday_HL,THB,-6.68963822976,4.14088972364e-09,19
Intraday_HL,TWD,-4.67338847259,9.43919406997e-05,20
Intraday_HL,VND,-5.5736438222,1.44850583898e-06,26
Prev_close_open,AUD,-20.8532333529,0.0,4
Prev_close_open,BDT,-4.33912319144,0.00037979366238,14
Prev_close_open,CNY,-8.59687138925,7.03883582576e-14,20
Prev_close_open,HKD,-4.6619610659,9.91452875027e-05,28
Prev_close_open,IDR,,,
Prev_close_open,INR,-5.73817912011,6.36601166074e-07,27
Prev_close_open,JPY,-50.0100463097,0.0,0
Prev_close_open,KRW,-11.2335017503,1.88199931382e-20,28
Prev_close_open,LKR,-6.14544769167,7.7873760198e-08,14
