,,,ADF Statistic,P - Value,Lag
Close,AUD,S&P/ASX 200,-0.793744810837,0.820952580186,7
Close,BDT,DSE 30,,,
Close,CNY,SZSE Component,,,
Close,CNY,Shanghai,-2.24850569324,0.189113761476,24
Close,HKD,Hang Seng,-1.88739974888,0.338011685171,4
Close,IDR,IDX Composite,-1.73598786821,0.412672283932,4
Close,INR,BSE Sensex,,,
Close,INR,Nifty 50,-0.0819335624554,0.951208552803,1
Close,JPY,Nikkei 225,-0.626610632213,0.864855039889,0
Close,KRW,KOSPI,-2.62423408482,0.0880912956392,9
Close,KRW,KOSPI 50,,,
Close,LKR,CSE All-Share,-3.42774352423,0.0100486813772,10
Close,MNT,MNE Top 20,,,
Close,MYR,KLCI,,,
Close,NZD,NZX 50,2.25841956967,0.998927230726,8
Close,NZD,NZX MidCap,1.61747704712,0.997909072812,8
Close,PHP,PSEi Composite,,,
Close,PKR,Karachi 100,-1.14736612672,0.695818208284,15
Close,SGD,STI Index,,,
Close,THB,SET,-2.22990692074,0.195570543992,6
Close,TWD,TPEx 50,,,
Close,TWD,Taiwan Weighted,,,
Close,USD,Dow 30,0.289043067095,0.976836166495,5
Close,USD,Nasdaq,0.673865829089,0.989301623736,2
Close,USD,Nasdaq 100,1.11233916054,0.995320568576,8
Close,USD,S&P 500,0.368731830667,0.980287205395,5
Close,VND,HNX 30,,,
Close,VND,VN 30,-0.881783051684,0.793912312267,6
High,AUD,S&P/ASX 200,-0.599121422735,0.871180425781,5
High,BDT,DSE 30,,,
High,CNY,SZSE Component,,,
High,CNY,Shanghai,-2.32807394259,0.163073343229,25
High,HKD,Hang Seng,-1.84222089065,0.359710670839,1
High,IDR,IDX Composite,-1.6755621751,0.443745513673,7
High,INR,BSE Sensex,,,
High,INR,Nifty 50,0.147106914199,0.969133980808,6
High,JPY,Nikkei 225,-0.559038504475,0.879971666916,1
High,KRW,KOSPI,-2.61675840219,0.0895828753372,2
High,KRW,KOSPI 50,,,
High,LKR,CSE All-Share,-3.54216508225,0.00696798288038,13
High,MNT,MNE Top 20,,,
