,accuracy,args,target_market,feature_used
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 2}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 3}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 5}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 6}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 7}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 8}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 4}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 10}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 9}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 1e-05, 'solver': 'auto', 'random_state': 1}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 3}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 2}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 1}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 5}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 4}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 7}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 6}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 8}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 9}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'auto', 'random_state': 10}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 9}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 2}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 10}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 8}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 3}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 1}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 5}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 6}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 7}",BDT,VND
0,0.6217391304347826,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.001, 'solver': 'auto', 'random_state': 4}",BDT,VND
